data_recolha,finalidade,montante_eur,prazo_meses,prestacao_mensal_eur,taeg_pct,tan_pct,mtic_eur
2026-09-05,Obras,1000.0,12,88.34,15.3,10.5,1077.68
2026-09-05,Obras,1000.0,18,60.48,14.1,10.5,1106.24
2026-09-05,Obras,1000.0,24,46.57,13.5,10.5,1135.28
2026-09-05,Obras,1000.0,30,39.02,15.0,12.1,1188.2
2026-09-05,Obras,1000.0,36,33.49,14.7,12.1,1223.24
2026-09-05,Obras,5000.0,12,441.72,15.3,10.5,5388.64
2026-09-05,Obras,5000.0,18,302.41,14.1,10.5,5531.38
2026-09-05,Obras,5000.0,24,232.85,13.5,10.5,5676.4
2026-09-05,Obras,5000.0,30,191.2,13.1,10.5,5824.0
2026-09-05,Obras,5000.0,36,163.5,12.9,10.5,5974.0
2026-09-05,Obras,5000.0,42,147.79,14.6,12.1,6295.18
2026-09-05,Obras,5000.0,48,133.1,14.4,12.1,6476.8
2026-09-05,Obras,5000.0,54,117.1,12.2,10.3,6411.4
2026-09-05,Obras,5000.0,60,107.99,12.1,10.3,6567.4
2026-09-05,Obras,5000.0,66,100.58,12.0,10.3,6726.28
2026-09-05,Obras,5000.0,72,93.51,11.6,9.95,6820.72
2026-09-05,Obras,5000.0,78,88.33,11.5,9.95,6977.74
2026-09-05,Obras,5000.0,84,82.7,11.0,9.5,7034.8
2026-09-05,Obras,10000.0,12,883.44,15.3,10.5,10777.28
2026-09-05,Obras,10000.0,18,604.82,14.1,10.5,11062.76
2026-09-05,Obras,10000.0,24,465.71,13.5,10.5,11353.04
2026-09-05,Obras,10000.0,30,382.41,13.1,10.5,11648.3
2026-09-05,Obras,10000.0,36,327.01,12.9,10.5,11948.36
2026-09-05,Obras,10000.0,42,295.57,14.6,12.1,12589.94
2026-09-05,Obras,10000.0,48,266.2,14.4,12.1,12953.6
2026-09-05,Obras,10000.0,54,234.19,12.2,10.3,12822.26
2026-09-05,Obras,10000.0,60,215.98,12.1,10.3,13134.8
2026-09-05,Obras,10000.0,66,201.15,12.0,10.3,13451.9
2026-09-05,Obras,10000.0,72,187.03,11.6,9.95,13642.16
2026-09-05,Obras,10000.0,78,176.66,11.5,9.95,13955.48
2026-09-05,Obras,10000.0,84,160.08,9.8,8.5,13622.72
2026-09-05,Obras,15000.0,12,1325.17,15.3,10.5,16166.04
2026-09-05,Obras,15000.0,18,907.22,14.1,10.5,16593.96
2026-09-05,Obras,15000.0,24,698.56,13.5,10.5,17029.44
2026-09-05,Obras,15000.0,30,573.61,13.1,10.5,17472.3
2026-09-05,Obras,15000.0,36,490.51,12.9,10.5,17922.36
2026-09-05,Obras,15000.0,42,443.36,14.6,12.1,18885.12
2026-09-05,Obras,15000.0,48,399.29,14.4,12.1,19429.92
2026-09-05,Obras,15000.0,54,351.29,12.2,10.3,19233.66
2026-09-05,Obras,15000.0,60,323.97,12.1,10.3,19702.2
2026-09-05,Obras,15000.0,66,301.73,12.0,10.3,20178.18
2026-09-05,Obras,15000.0,72,280.54,11.6,9.95,20462.88
2026-09-05,Obras,15000.0,78,264.99,11.5,9.95,20933.22
2026-09-05,Obras,15000.0,84,240.88,9.9,8.6,20497.92
2026-09-05,Obras,20000.0,12,1766.89,15.3,10.5,21554.68
2026-09-05,Obras,20000.0,18,1209.63,14.1,10.5,22125.34
2026-09-05,Obras,20000.0,24,931.41,13.5,10.5,22705.84
2026-09-05,Obras,20000.0,30,764.81,13.1,10.5,23296.3
2026-09-05,Obras,20000.0,36,654.02,12.9,10.5,23896.72
2026-09-05,Obras,20000.0,42,591.14,14.6,12.1,25179.88
2026-09-05,Obras,20000.0,48,532.39,14.4,12.1,25906.72
2026-09-05,Obras,20000.0,54,468.38,12.2,10.3,25644.52
2026-09-05,Obras,20000.0,60,431.96,12.1,10.3,26269.6
2026-09-05,Obras,20000.0,66,402.3,12.0,10.3,26903.8
2026-09-05,Obras,20000.0,72,374.06,11.6,9.95,27284.32
2026-09-05,Obras,20000.0,78,353.32,11.5,9.95,27910.96
2026-09-05,Obras,20000.0,84,321.17,9.9,8.6,27330.28
2026-09-05,Obras,25000.0,12,2208.61,15.3,10.5,26943.32
2026-09-05,Obras,25000.0,18,1512.04,14.1,10.5,27656.72
2026-09-05,Obras,25000.0,24,1164.27,13.5,10.5,28382.48
2026-09-05,Obras,25000.0,30,956.02,13.1,10.5,29120.6
2026-09-05,Obras,25000.0,36,817.52,12.9,10.5,29870.72
2026-09-05,Obras,25000.0,42,738.93,14.6,12.1,31475.06
2026-09-05,Obras,25000.0,48,665.49,14.4,12.1,32383.52
2026-09-05,Obras,25000.0,54,585.48,12.2,10.3,32055.92
2026-09-05,Obras,25000.0,60,539.95,12.1,10.3,32837.0
2026-09-05,Obras,25000.0,66,502.88,12.0,10.3,33630.08
2026-09-05,Obras,25000.0,72,467.57,11.6,9.95,34105.04
