data_recolha,finalidade,montante_eur,prazo_meses,prestacao_mensal_eur,taeg_pct,tan_pct,mtic_eur
2026-09-04,Pagar Despesas / Férias e Lazer,5000.0,54,124.03,15.3,12.97,6785.62
2026-09-04,Pagar Despesas / Férias e Lazer,5000.0,60,115.24,15.3,13.05,7002.4
2026-09-04,Pagar Despesas / Férias e Lazer,5000.0,66,108.09,15.3,13.11,7221.94
2026-09-04,Pagar Despesas / Férias e Lazer,5000.0,72,102.17,15.3,13.15,7444.24
2026-09-04,Pagar Despesas / Férias e Lazer,5000.0,78,97.25,15.3,13.2,7673.5
2026-09-04,Pagar Despesas / Férias e Lazer,5000.0,84,93.04,15.3,13.23,7903.36
2026-09-04,Pagar Despesas / Férias e Lazer,10000.0,54,248.05,15.3,12.97,13570.7
2026-09-04,Pagar Despesas / Férias e Lazer,10000.0,60,229.35,15.1,12.84,13937.0
2026-09-04,Pagar Despesas / Férias e Lazer,10000.0,66,213.2,14.7,12.56,14247.2
2026-09-04,Pagar Despesas / Férias e Lazer,10000.0,72,200.2,14.4,12.4,14590.4
2026-09-04,Pagar Despesas / Férias e Lazer,10000.0,78,188.18,14.0,12.07,14854.04
2026-09-04,Pagar Despesas / Férias e Lazer,10000.0,84,174.21,12.8,11.12,14809.64
2026-09-04,Pagar Despesas / Férias e Lazer,15000.0,54,372.08,15.3,12.97,20356.32
2026-09-04,Pagar Despesas / Férias e Lazer,15000.0,60,344.02,15.1,12.84,20905.2
2026-09-04,Pagar Despesas / Férias e Lazer,15000.0,66,319.79,14.7,12.56,21370.14
2026-09-04,Pagar Despesas / Férias e Lazer,15000.0,72,300.29,14.4,12.4,21884.88
2026-09-04,Pagar Despesas / Férias e Lazer,15000.0,78,282.27,14.0,12.07,22281.06
2026-09-04,Pagar Despesas / Férias e Lazer,15000.0,84,259.91,12.6,10.95,22096.44
2026-09-04,Pagar Despesas / Férias e Lazer,20000.0,54,496.1,15.3,12.97,27141.4
2026-09-04,Pagar Despesas / Férias e Lazer,20000.0,60,458.69,15.1,12.84,27873.4
2026-09-04,Pagar Despesas / Férias e Lazer,20000.0,66,426.39,14.7,12.56,28493.74
2026-09-04,Pagar Despesas / Férias e Lazer,20000.0,72,400.39,14.4,12.4,29180.08
2026-09-04,Pagar Despesas / Férias e Lazer,20000.0,78,376.36,14.0,12.07,29708.08
2026-09-04,Pagar Despesas / Férias e Lazer,20000.0,84,346.55,12.6,10.95,29462.2
2026-09-04,Pagar Despesas / Férias e Lazer,25000.0,54,620.12,15.3,12.97,33926.48
2026-09-04,Pagar Despesas / Férias e Lazer,25000.0,60,573.37,15.1,12.84,34842.2
2026-09-04,Pagar Despesas / Férias e Lazer,25000.0,66,532.99,14.7,12.56,35617.34
2026-09-04,Pagar Despesas / Férias e Lazer,25000.0,72,500.49,14.4,12.4,36475.28
2026-09-04,Pagar Despesas / Férias e Lazer,25000.0,78,470.45,14.0,12.07,37135.1
2026-09-04,Pagar Despesas / Férias e Lazer,25000.0,84,433.18,12.6,10.95,36827.12
2026-09-04,Pagar Despesas / Férias e Lazer,30000.0,54,744.15,15.3,12.97,40712.1
2026-09-04,Pagar Despesas / Férias e Lazer,30000.0,60,688.04,15.1,12.84,41810.4
2026-09-04,Pagar Despesas / Férias e Lazer,30000.0,66,639.58,14.7,12.56,42740.28
2026-09-04,Pagar Despesas / Férias e Lazer,30000.0,72,600.58,14.4,12.4,43769.76
2026-09-04,Pagar Despesas / Férias e Lazer,30000.0,78,564.54,14.0,12.07,44562.12
2026-09-04,Pagar Despesas / Férias e Lazer,30000.0,84,519.82,12.6,10.95,44192.88
2026-09-04,Pagar Despesas / Férias e Lazer,35000.0,54,868.17,15.3,12.97,47497.18
2026-09-04,Pagar Despesas / Férias e Lazer,35000.0,60,802.71,15.1,12.84,48778.6
2026-09-04,Pagar Despesas / Férias e Lazer,35000.0,66,746.18,14.7,12.56,49863.88
2026-09-04,Pagar Despesas / Férias e Lazer,35000.0,72,700.68,14.4,12.4,51064.96
2026-09-04,Pagar Despesas / Férias e Lazer,35000.0,78,658.62,14.0,12.07,51988.36
2026-09-04,Pagar Despesas / Férias e Lazer,35000.0,84,606.45,12.6,10.95,51557.8
2026-09-04,Pagar Despesas / Férias e Lazer,40000.0,54,992.19,15.3,12.97,54282.26
2026-09-04,Pagar Despesas / Férias e Lazer,40000.0,60,917.38,15.1,12.84,55746.8
2026-09-04,Pagar Despesas / Férias e Lazer,40000.0,66,852.77,14.7,12.56,56986.82
2026-09-04,Pagar Despesas / Férias e Lazer,40000.0,72,800.78,14.4,12.4,58360.16
2026-09-04,Pagar Despesas / Férias e Lazer,40000.0,78,752.71,14.0,12.07,59415.38
2026-09-04,Pagar Despesas / Férias e Lazer,40000.0,84,693.09,12.6,10.95,58923.56
2026-09-04,Pagar Despesas / Férias e Lazer,45000.0,54,1116.22,15.3,12.97,61067.88
2026-09-04,Pagar Despesas / Férias e Lazer,45000.0,60,1032.06,15.1,12.84,62715.6
2026-09-04,Pagar Despesas / Férias e Lazer,45000.0,66,959.37,14.7,12.56,64110.42
2026-09-04,Pagar Despesas / Férias e Lazer,45000.0,72,900.87,14.4,12.4,65654.64
2026-09-04,Pagar Despesas / Férias e Lazer,45000.0,78,846.8,14.0,12.07,66842.4
2026-09-04,Pagar Despesas / Férias e Lazer,45000.0,84,779.73,12.6,10.95,66289.32
2026-09-04,Pagar Despesas / Férias e Lazer,50000.0,54,1240.24,15.3,12.97,67852.96
2026-09-04,Pagar Despesas / Férias e Lazer,50000.0,60,1146.73,15.1,12.84,69683.8
2026-09-04,Pagar Despesas / Férias e Lazer,50000.0,66,1065.97,14.7,12.56,71234.02
2026-09-04,Pagar Despesas / Férias e Lazer,50000.0,72,1000.97,14.4,12.4,72949.84
2026-09-04,Pagar Despesas / Férias e Lazer,50000.0,78,940.89,14.0,12.07,74269.42
2026-09-04,Pagar Despesas / Férias e Lazer,50000.0,84,866.36,12.6,10.95,73654.24
2026-09-04,Lar e Recheio,5000.0,24,236.62,15.3,12.05,5766.88
2026-09-04,Lar e Recheio,5000.0,30,195.79,15.3,12.37,5961.7
2026-09-04,Lar e Recheio,5000.0,36,168.68,15.3,12.58,6160.48
2026-09-04,Lar e Recheio,5000.0,42,149.4,15.3,12.73,6362.8
2026-09-04,Lar e Recheio,5000.0,48,135.05,15.3,12.85,6570.4
2026-09-04,Lar e Recheio,5000.0,54,124.03,15.3,12.97,6785.62
2026-09-04,Lar e Recheio,5000.0,60,115.24,15.3,13.05,7002.4
2026-09-04,Lar e Recheio,5000.0,66,108.09,15.3,13.11,7221.94
2026-09-04,Lar e Recheio,5000.0,72,102.17,15.3,13.15,7444.24
2026-09-04,Lar e Recheio,5000.0,78,97.25,15.3,13.2,7673.5
2026-09-04,Lar e Recheio,5000.0,84,93.04,15.3,13.23,7903.36
2026-09-04,Lar e Recheio,10000.0,24,473.23,15.3,12.05,11533.52
2026-09-04,Lar e Recheio,10000.0,30,391.58,15.3,12.37,11923.4
2026-09-04,Lar e Recheio,10000.0,36,337.35,15.3,12.58,12320.6
2026-09-04,Lar e Recheio,10000.0,42,298.8,15.3,12.73,12725.6
2026-09-04,Lar e Recheio,10000.0,48,270.09,15.3,12.85,13140.32
2026-09-04,Lar e Recheio,10000.0,54,248.05,15.3,12.97,13570.7
2026-09-04,Lar e Recheio,10000.0,60,229.35,15.1,12.84,13937.0
2026-09-04,Lar e Recheio,10000.0,66,213.2,14.7,12.56,14247.2
2026-09-04,Lar e Recheio,10000.0,72,200.2,14.4,12.4,14590.4
2026-09-04,Lar e Recheio,10000.0,78,188.18,14.0,12.07,14854.04
2026-09-04,Lar e Recheio,10000.0,84,174.21,12.8,11.12,14809.64
2026-09-04,Lar e Recheio,15000.0,24,709.84,15.3,12.05,17300.16
2026-09-04,Lar e Recheio,15000.0,30,587.37,15.3,12.37,17885.1
2026-09-04,Lar e Recheio,15000.0,36,506.02,15.3,12.58,18480.72
2026-09-04,Lar e Recheio,15000.0,42,448.19,15.3,12.73,19087.98
2026-09-04,Lar e Recheio,15000.0,48,405.13,15.3,12.85,19710.24
2026-09-04,Lar e Recheio,15000.0,54,372.08,15.3,12.97,20356.32
2026-09-04,Lar e Recheio,15000.0,60,344.02,15.1,12.84,20905.2
2026-09-04,Lar e Recheio,15000.0,66,319.79,14.7,12.56,21370.14
2026-09-04,Lar e Recheio,15000.0,72,300.29,14.4,12.4,21884.88
2026-09-04,Lar e Recheio,15000.0,78,282.27,14.0,12.07,22281.06
2026-09-04,Lar e Recheio,15000.0,84,259.91,12.6,10.95,22096.44
